
func_149853_b,growOneStage,0,"Increases crop stage by one, meta++"
func_149852_a,boneMealGrowChance,0,"True if should grow by bone meal, random for some plants"
func_149851_a,canGrowMore,0,"True if crop can grow more"
func_147650_b,getResourceLocation,0,
func_147655_f,getPitchMultiplier,0,
func_147649_g,getX,0,
func_147654_h,getY,0,
func_147651_i,getZ,0,
func_147656_j,getAttenuationType,0,
func_152428_f,getSessionType,0,
func_146101_a,displayGUIFurnace,0,
func_146098_a,displayGUIBrewingStand,0,
func_146104_a,displayGUIBeacon,0,
func_146102_a,displayGUIDispenser,0,
func_146140_b,set_field_146142_r,0,
func_110121_a,notEmpty,0,
func_152379_p,getRenderDistance,0,
func_94559_f,isFromEntityLivingBase,0,Returns true if damageSrc instanceof EntityLivingBase
func_147135_j,getDifficulty,0,
func_147138_a,loadServerIcon,0,
func_96645_d,getScoreObjective,0,
func_96650_f,getScoreboard,0,
func_149730_j,isOpaque,0,
func_149667_c,equals,0,
func_150495_a,getDigSoundName,0,
func_150498_e,getStepSoundName,0,
func_152122_n,hasCape,0,
func_152123_o,hasSkin,0,
func_82194_d,getWorld,0,
func_150284_a,getNewTypeFromTypeByte,0,
func_149304_c,getGameProfile,0,
func_149607_e,getData,0,
func_149608_d,getPublicKey,0,
func_149439_c,getMessage,0,
func_149564_a,getEntity,0,
func_149565_c,getAction,0,
func_147362_b,getNetworkManager,0,
